-------------------------------------------------------------------------
Stop Condition       : 20 votes
Max of Voters        : 10 threads
PollStation Capacity : 5 places
-------------------------------------------------------------------------
Probabilities:
   - PARTY A wins              : 70%
   - Voter being chosen        : 50%
   - Voter answers             : 60%
   - Voter lies on survey      : 20%
   - Voter reborn a new ID     : 60%
-------------------------------------------------------------------------
LABEL:
   - IDCheck:
      - ✔ : voter checked for voting
      - ✖ : voter already voted
   - Voting:
      - Voter (A | B)  : refers to the Vote of the voter
   - Survey:
      - Voter L : voter lied on survey
-------------------------------------------------------------------------
| PollStation | Waiting | Inside | IDCheck | Voting | ExitPoll | Survey |
|             |         |        |  V7  ✖  |        |          |        |
|             |         |        |         |        |   V7     |        |
|             |         |  V88   |         |        |          |        |
|             |   V7    |        |         |        |          |        |
|             |         |        |  V9  ✖  |        |          |        |
|             |         |        |         |        |   V9     |        |
|             |         |  V126  |         |        |          |        |
|             |   V70   |        |         |        |          |        |
|             |   V17   |        |         |        |          |        |
|             |         |        |  V28 ✖  |        |          |        |
|             |         |        |         |        |   V28    |        |
|             |         |  V70   |         |        |          |        |
|             |   V98   |        |         |        |          |        |
|             |         |        |  V126✔  |        |          |        |
|             |         |        |  V17 ✖  |        |          |        |
|             |         |        |         |        |   V17    |        |
|             |         |  V165  |         |        |          |        |
|             |         |        |  V4  ✖  |        |          |        |
|             |         |        |         |        |   V4     |        |
|             |         |  V98   |         |        |          |        |
|             |   V4    |        |         |        |          |        |
|             |         |        |  V88 ✔  |        |          |        |
|             |   V11   |        |         |        |          |        |
|             |         |        |  V70 ✔  |        |          |        |
|             |         |        |  V98 ✔  |        |          |        |
|             |         |        |  V165✖  |        |          |        |
|             |         |  V11   |         |        |          |        |
|             |         |        |         |        |   V165   |        |
|             |         |        |         |        |          |  V165  |
|             |         |        |         |  V126A |          |        |
|             |         |  V17   |         |        |          |        |
|             |         |        |         |        |   V126   |        |
|             |   V17   |        |         |        |          |        |
|             |   V33   |        |         |        |          |        |
|             |         |        |         |  V70 B |          |        |
|             |         |        |         |        |   V70    |        |
|             |         |  V17   |         |        |          |        |
|             |         |        |         |  V88 A |          |        |
|             |         |        |         |        |   V88    |        |
|             |         |  V4    |         |        |          |        |
|             |   V4    |        |         |        |          |        |
|             |   V23   |        |         |        |          |        |
|             |         |        |         |  V98 A |          |        |
|             |         |        |         |        |   V98    |        |
| CLOSED      |         |        |         |        |          |        |
|             |         |        |  V17 ✖  |        |          |        |
|             |         |        |         |        |   V17    |        |
|             |         |        |  V4  ✖  |        |          |        |
|             |         |        |         |        |   V4     |        |
|             |         |        |  V11 ✖  |        |          |        |
|             |         |        |         |        |   V11    |        |
|             |         |        |  V17 ✖  |        |          |        |
|             |         |        |         |        |   V17    |        |
-------------------------------------------------------------------------


----------------------| SURVEY RESULTS
Total votes for A: 0
Total votes for B: 0
 SURVEY WINNER -> TIE
----------------------

----------------------| ELECTION RESULTS
Total votes for A: 14
Total votes for B: 6
  WINNER  🏆🏆 -> A
----------------------
